Region,Children enrolled in a preschool or preschool program (no.),Estimated resident Aboriginal and Torres Strait Islander population (no.),Estimated resident population (no.),Land area (ha),Median monthly household mortgage payment ($),Median price of established house transfers ($),Median total income (excl. Government pensions and allowances) ($),Median weekly household rental payment ($),Number of jobs,Persons born overseas (no.),Speakers of an Aboriginal or Torres Strait Islander language who identify as Aboriginal and/or Torres Strait Islander (%),Total number of businesses,Total protected land area (ha),Working age population (aged 15-64 years) (%)
Alfredton,2021/306,2021/225,2023/18 997,2021/5 271.1,2021/1 698,2023/650 000,2020/55 204,2021/370,2020/11 837,2021/2 640,2021/1.5,2023/1 215,2022/61,2022/63.4
Ballarat,2021/135,2021/147,2023/11 809,2021/1 237.9,2021/1 700,2023/715 000,2020/53 784,2021/313,2020/10 196,2021/1 613,2021/2.4,2023/2 720,2022/No data available,2022/62
Buninyong,2021/118,2021/100,2023/7 323,2021/5 158.6,2021/1 662,2023/645 000,2020/54 308,2021/330,2020/5 582,2021/732,2021/0,2023/527,2022/114,2022/60.6
Delacombe,2021/219,2021/267,2023/12 869,2021/3 416.1,2021/1 500,2023/578 000,2020/51 915,2021/360,2020/7 250,2021/1 166,2021/0,2023/918,2022/No data available,2022/64.6
Smythes Creek,2021/70,2021/95,2023/4 268,2021/10 472.7,2021/1 733,2023/No data available,2020/53 981,2021/350,2020/3 410,2021/325,2021/0,2023/354,2022/188,2022/64.5
Wendouree - Miners Rest,2021/232,2021/528,2023/15 431,2021/6 757.4,2021/1 300,2023/485 000,2020/47 627,2021/260,2020/10 184,2021/1 347,2021/2.4,2023/1 151,2022/14,2022/61.2
Ballarat East - Warrenheip,2021/150,2021/270,2023/9 628,2021/1 921.6,2021/1 300,2023/530 000,2020/No data available,2021/288,2020/7 350,2021/997,2021/1.7,2023/684,2022/No data available,2022/61.9
Ballarat North - Invermay,2021/230,2021/194,2023/15 015,2021/7 314.2,2021/1 560,2023/690 000,2020/No data available,2021/300,2020/11 228,2021/1 363,2021/2.9,2023/1 148,2022/14,2022/61.9
Canadian - Mount Clear,2021/186,2021/291,2023/12 433,2021/2 227.3,2021/1 387,2023/535 000,2020/No data available,2021/295,2020/8 473,2021/1 541,2021/0,2023/734,2022/No data available,2022/64.4
Sebastopol - Redan,2021/212,2021/429,2023/12 885,2021/1 058.1,2021/1 179,2023/480 000,2020/No data available,2021/260,2020/9 668,2021/1 303,2021/0,2023/591,2022/No data available,2022/62.4
Bacchus Marsh Surrounds,2021/83,2021/86,2023/6 639,2021/103 881.2,2021/1 700,2023/640 000,2020/53 942,2021/330,2020/5 032,2021/827,2021/0,2023/673,2022/18 883,2022/62.3
Creswick - Clunes,2021/110,2021/135,2023/7 987,2021/85 678.9,2021/1 300,2023/540 000,2020/44 642,2021/250,2020/6 001,2021/806,2021/0,2023/781,2022/1 646,2022/57.9
Daylesford,2021/87,2021/94,2023/10 085,2021/92 075.8,2021/1 600,2023/900 000,2020/41 806,2021/330,2020/7 434,2021/1 631,2021/0,2023/1 205,2022/2 004,2022/58.3
Gordon (Vic.),2021/75,2021/114,2023/6 408,2021/85 031.4,2021/1 695,2023/617 500,2020/51 371,2021/270,2020/5 044,2021/656,2021/0,2023/765,2022/237,2022/62.9
Avoca,2021/34,2021/55,2023/3 594,2021/171 424,2021/1 006,2023/335 000,2020/38 869,2021/200,2020/2 447,2021/335,2021/0,2023/477,2022/10 555,2022/55
Beaufort,2021/35,2021/124,2023/4 709,2021/186 304.3,2021/1 216,2023/442 500,2020/43 576,2021/218,2020/3 275,2021/449,2021/0,2023/498,2022/3 616,2022/59.6
Golden Plains - North,2021/65,2021/96,2023/4 940,2021/92 208.1,2021/1 387,2023/537 500,2020/47 277,2021/250,2020/3 533,2021/453,2021/0,2023/385,2022/5 490,2022/62.4
Maryborough (Vic.),2021/75,2021/242,2023/8 154,2021/4 553.8,2021/1 000,2023/399 500,2020/41 645,2021/240,2020/4 467,2021/716,2021/3.5,2023/483,2022/75,2022/53.3
